Complaint_ID,User_Name,Location,Input_Type,Complaint_Text,Category,Severity,Status,Date,Accuracy
CMP800015,User_51941,Trichy,Mobile App,Requesting the installation of new street lights in the dark alleys of the colony.,Road & Infrastructure Issues,High,Resolved,2025-11-17,0.95
CMP800016,User_83826,Chennai,Web Portal,The traffic signal at the main crossroad is stuck on red for all directions.,Public Safety & Law Issues,Medium,Open,2026-02-09,0.95
CMP800017,User_53912,Kanchipuram,Call Center,A stray bull has damaged several parked cars in the market parking area.,Animal & Wildlife Issues,Medium,Resolved,2025-09-16,0.95
CMP800018,User_56099,Vellore,Mobile App,The valve man has not turned on the supply at the scheduled morning time for a week.,Water Supply Issues,Low,Open,2025-09-01,0.95
CMP800019,User_88980,Madurai,Mobile App,There has been a total power failure in the entire street for the last five hours.,Electricity Issues,Low,In Progress,2025-06-08,0.95
CMP800020,User_91173,Thanjavur,Mobile App,The application for my community certificate has been pending for over three months.,Government Service Delivery Issues,Low,Resolved,2025-11-12,0.95
CMP800021,User_58660,Kanchipuram,Web Portal,The sanitation workers are demanding extra money for regular waste collection.,Garbage & Sanitation Issues,Low,In Progress,2025-09-06,0.95
CMP800022,User_11139,Trichy,Web Portal,I have received an abnormally high electricity bill despite minimal usage this month.,Electricity Issues,Medium,Open,2025-06-24,0.95
CMP800023,User_71651,Tirunelveli,Web Portal,"Several teacher posts are vacant in the high school, affecting the students' syllabus.",Education & School Issues,High,Open,2026-01-05,0.95
CMP800024,User_13485,Kanchipuram,Mobile App,A neighborhood shop is causing noise pollution by using a generator all day.,General Administrative Department,High,Resolved,2025-11-02,0.95
CMP800025,User_98283,Erode,Web Portal,Permission is requested for conducting a religious procession on the main street.,General Administrative Department,Low,Open,2025-12-09,0.95
CMP800026,User_60489,Salem,Mobile App,Illegal dumping of construction debris is blocking the flow of the rainwater drain.,Garbage & Sanitation Issues,Medium,Open,2026-02-20,0.95
CMP800027,User_93452,Thanjavur,Web Portal,Stagnant water on the road after rain is making the street impassable.,Road & Infrastructure Issues,High,Resolved,2025-11-19,0.95
CMP800028,User_60396,Salem,Call Center,Requesting a free vaccination camp for the children in our low-income neighborhood.,Health & Medical Issues,Low,In Progress,2025-08-26,0.95
CMP800029,User_48436,Erode,Call Center,"The main road is filled with deep potholes, causing frequent two-wheeler accidents.",Road & Infrastructure Issues,Low,Open,2025-12-14,0.95
CMP800030,User_50854,Erode,Web Portal,"A portion of the pavement has collapsed, making it difficult for pedestrians to walk.",Road & Infrastructure Issues,Low,Resolved,2025-05-04,0.95
CMP800031,User_40432,Kanchipuram,Call Center,Live electrical wires are hanging dangerously low near the school entrance.,Electricity Issues,Low,In Progress,2025-09-02,0.95
CMP800032,User_13745,Madurai,Call Center,The online portal for paying property tax is frequently crashing and not working.,Government Service Delivery Issues,High,In Progress,2025-12-09,0.95
CMP800033,User_95496,Coimbatore,Mobile App,There is a conflict regarding the ownership of the common land used for festivals.,General Administrative Department,Medium,Resolved,2026-02-09,0.95
CMP800034,User_89695,Vellore,Mobile App,The application for my community certificate has been pending for over three months.,Government Service Delivery Issues,High,Open,2025-03-06,0.95
CMP800035,User_77037,Madurai,Call Center,"The street lights on the main road are not functioning, making it unsafe for commuters.",Electricity Issues,Medium,Open,2025-08-24,0.95
CMP800036,User_11900,Coimbatore,Call Center,Requesting the shifting of an electric pole that is blocking the entrance to our gate.,Electricity Issues,Medium,Open,2025-11-20,0.95
CMP800037,User_94551,Trichy,Mobile App,I am not being provided with a receipt for the fees paid at the municipal office.,Government Service Delivery Issues,High,Open,2025-07-09,0.95
CMP800038,User_59534,Salem,Call Center,Unmarked road cuttings for cable work have not been filled back properly.,Road & Infrastructure Issues,High,Resolved,2025-05-16,0.95
CMP800039,User_73400,Madurai,Call Center,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,High,Resolved,2026-01-21,0.95
CMP800040,User_82674,Chennai,Web Portal,The staff at the Taluk office are demanding a bribe to process my house patta.,Government Service Delivery Issues,Medium,In Progress,2025-12-06,0.95
CMP800041,User_97232,Thanjavur,Call Center,"The street lights on the main road are not functioning, making it unsafe for commuters.",Electricity Issues,High,Resolved,2025-11-14,0.95
CMP800042,User_37963,Coimbatore,Web Portal,There is a dispute regarding the boundary wall between two private properties.,General Administrative Department,Low,In Progress,2025-10-04,0.95
CMP800043,User_14753,Salem,Web Portal,There is a swarm of honeybees near the school entrance that needs to be removed.,Animal & Wildlife Issues,Medium,Resolved,2025-06-05,0.95
CMP800044,User_60645,Salem,Mobile App,"The public garbage bin is overflowing, and waste is scattered all over the street.",Garbage & Sanitation Issues,High,Open,2025-04-19,0.95
CMP800045,User_60089,Chennai,Web Portal,"The main road is filled with deep potholes, causing frequent two-wheeler accidents.",Road & Infrastructure Issues,Low,Open,2025-10-22,0.95
CMP800046,User_22641,Kanchipuram,Mobile App,There is a continuous leak in the public water tap located near the community park.,Water Supply Issues,Medium,Resolved,2025-05-05,0.95
CMP800047,User_66356,Salem,Call Center,The management of the local temple is not maintaining the premises properly.,General Administrative Department,Low,Resolved,2025-04-28,0.95
CMP800048,User_21544,Tirunelveli,Mobile App,Mosquitoes are breeding heavily in the stagnant sewage water near our apartment.,Garbage & Sanitation Issues,Medium,Resolved,2025-11-02,0.95
CMP800049,User_68549,Madurai,Call Center,The application for my community certificate has been pending for over three months.,Government Service Delivery Issues,Low,In Progress,2025-08-15,0.95
CMP800050,User_43785,Erode,Call Center,The public toilet in the market area is extremely unhygienic and has no water.,Garbage & Sanitation Issues,Low,Resolved,2025-08-07,0.95
CMP800051,User_67659,Thanjavur,Web Portal,The staff at the Taluk office are demanding a bribe to process my house patta.,Government Service Delivery Issues,Low,In Progress,2025-03-24,0.95
CMP800052,User_53652,Madurai,Call Center,The roof of the government primary school is leaking heavily during the rains.,Education & School Issues,Medium,Open,2025-09-17,0.95
CMP800053,User_51919,Tirunelveli,Mobile App,"Desks and benches are broken, and children are forced to sit on the floor.",Education & School Issues,Medium,Open,2025-10-12,0.95
CMP800054,User_15324,Coimbatore,Web Portal,There is no clean drinking water facility for the students in the school building.,Education & School Issues,High,Open,2025-09-04,0.95
CMP800055,User_95015,Madurai,Call Center,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,High,Resolved,2025-03-11,0.95
CMP800056,User_51732,Thanjavur,Web Portal,A poisonous snake was spotted in the garden of a house near the public park.,Animal & Wildlife Issues,Medium,In Progress,2025-07-25,0.95
CMP800057,User_99409,Trichy,Web Portal,"Road expansion work has been left incomplete for months, causing massive dust pollution.",Road & Infrastructure Issues,Low,Resolved,2025-06-19,0.95
CMP800058,User_32311,Madurai,Call Center,A group of people are creating a nuisance by consuming alcohol in the public park.,Public Safety & Law Issues,High,In Progress,2025-04-15,0.95
CMP800059,User_19035,Kanchipuram,Web Portal,Requesting regular police patrolling during the night to prevent house burglaries.,Public Safety & Law Issues,Medium,Open,2025-10-20,0.95
CMP800060,User_23166,Coimbatore,Call Center,"The main road is filled with deep potholes, causing frequent two-wheeler accidents.",Road & Infrastructure Issues,Low,Open,2025-11-18,0.95
CMP800061,User_85301,Kanchipuram,Mobile App,The E-Seva center in our area remains closed during official working hours.,Government Service Delivery Issues,High,In Progress,2026-02-24,0.95
CMP800062,User_36221,Vellore,Call Center,"Several teacher posts are vacant in the high school, affecting the students' syllabus.",Education & School Issues,High,Open,2025-06-14,0.95
CMP800063,User_94778,Erode,Web Portal,The online portal for paying property tax is frequently crashing and not working.,Government Service Delivery Issues,Low,In Progress,2025-08-09,0.95
CMP800064,User_88231,Thanjavur,Call Center,Incidents of chain snatching have increased near the public park in the evenings.,Public Safety & Law Issues,Low,Open,2025-10-22,0.95
CMP800065,User_69690,Kanchipuram,Mobile App,Requesting regular police patrolling during the night to prevent house burglaries.,Public Safety & Law Issues,High,Resolved,2025-08-25,0.95
CMP800066,User_98304,Trichy,Call Center,Stagnant water in the hospital backyard is becoming a breeding ground for mosquitoes.,Health & Medical Issues,Medium,In Progress,2025-03-22,0.95
CMP800067,User_65448,Chennai,Mobile App,The fans and lights in the classrooms are not working for the last two months.,Education & School Issues,Low,Resolved,2025-06-22,0.95
CMP800068,User_64271,Chennai,Web Portal,Mosquitoes are breeding heavily in the stagnant sewage water near our apartment.,Garbage & Sanitation Issues,Medium,Open,2025-12-27,0.95
CMP800069,User_99927,Vellore,Mobile App,Incidents of chain snatching have increased near the public park in the evenings.,Public Safety & Law Issues,Low,In Progress,2025-11-11,0.95
CMP800070,User_14309,Vellore,Call Center,"Desks and benches are broken, and children are forced to sit on the floor.",Education & School Issues,Low,Open,2025-07-17,0.95
CMP800071,User_92835,Trichy,Call Center,Loud music is being played at a nearby function hall well past midnight.,Public Safety & Law Issues,High,Open,2025-11-02,0.95
CMP800072,User_40566,Kanchipuram,Call Center,The sanitation workers are demanding extra money for regular waste collection.,Garbage & Sanitation Issues,Low,In Progress,2025-09-21,0.95
CMP800073,User_23655,Coimbatore,Web Portal,There is a continuous leak in the public water tap located near the community park.,Water Supply Issues,High,In Progress,2026-01-30,0.95
CMP800074,User_64404,Salem,Web Portal,Unmarked road cuttings for cable work have not been filled back properly.,Road & Infrastructure Issues,Medium,In Progress,2026-01-24,0.95
CMP800075,User_98631,Salem,Mobile App,"The hospital premises are very dirty, and the washrooms are not being cleaned.",Health & Medical Issues,High,In Progress,2025-09-15,0.95
CMP800076,User_65873,Coimbatore,Web Portal,My old age pension has stopped coming without any prior notice or reason.,Government Service Delivery Issues,High,Open,2025-10-27,0.95
CMP800077,User_51628,Salem,Mobile App,"Cattle owners are leaving their cows on the main road, causing traffic hazards.",Animal & Wildlife Issues,High,Open,2026-02-24,0.95
CMP800078,User_80989,Coimbatore,Call Center,Wildlife from the nearby forest has entered the farm fields and destroyed crops.,Animal & Wildlife Issues,Medium,Open,2025-08-10,0.95
CMP800079,User_42199,Vellore,Mobile App,"An open drainage line is blocked, causing sewage water to overflow onto the road.",Garbage & Sanitation Issues,Low,In Progress,2025-08-15,0.95
CMP800080,User_41456,Madurai,Web Portal,The drinking water supplied in our colony has a brownish tint and a foul smell.,Water Supply Issues,Low,Resolved,2025-06-10,0.95
CMP800081,User_78930,Salem,Mobile App,The local cemetery is overgrown with weeds and lacks proper fencing.,General Administrative Department,Low,In Progress,2025-04-01,0.95
CMP800082,User_34169,Chennai,Web Portal,The science laboratory lacks basic equipment for conducting practical exams.,Education & School Issues,Medium,Open,2025-04-03,0.95
CMP800083,User_16146,Vellore,Web Portal,There is a swarm of honeybees near the school entrance that needs to be removed.,Animal & Wildlife Issues,Low,Open,2025-07-06,0.95
CMP800084,User_14999,Trichy,Call Center,Stagnant water in the hospital backyard is becoming a breeding ground for mosquitoes.,Health & Medical Issues,Low,Resolved,2026-02-08,0.95
CMP800085,User_37899,Kanchipuram,Mobile App,"The hospital premises are very dirty, and the washrooms are not being cleaned.",Health & Medical Issues,Medium,In Progress,2025-03-13,0.95
CMP800086,User_76177,Tirunelveli,Call Center,There is no clean drinking water facility for the students in the school building.,Education & School Issues,High,In Progress,2025-03-28,0.95
CMP800087,User_91146,Madurai,Call Center,Wildlife from the nearby forest has entered the farm fields and destroyed crops.,Animal & Wildlife Issues,Low,In Progress,2025-09-05,0.95
CMP800088,User_30222,Thanjavur,Call Center,The local cemetery is overgrown with weeds and lacks proper fencing.,General Administrative Department,Low,Resolved,2025-04-29,0.95
CMP800089,User_17185,Kanchipuram,Call Center,Requesting a free vaccination camp for the children in our low-income neighborhood.,Health & Medical Issues,High,Open,2026-02-05,0.95
CMP800090,User_29716,Salem,Web Portal,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,Low,Open,2025-11-22,0.95
CMP800091,User_61717,Erode,Mobile App,Loud music is being played at a nearby function hall well past midnight.,Public Safety & Law Issues,Low,In Progress,2026-02-23,0.95
CMP800092,User_69120,Thanjavur,Mobile App,A local provision store has illegally extended its roof over the public drain.,General Administrative Department,Medium,Open,2025-06-15,0.95
CMP800093,User_59999,Thanjavur,Mobile App,"The public garbage bin is overflowing, and waste is scattered all over the street.",Garbage & Sanitation Issues,High,Resolved,2025-05-15,0.95
CMP800094,User_57374,Vellore,Mobile App,The trust managing the community hall is overcharging for local residents' bookings.,General Administrative Department,High,In Progress,2026-01-06,0.95
CMP800095,User_20282,Vellore,Call Center,The online portal for paying property tax is frequently crashing and not working.,Government Service Delivery Issues,Medium,In Progress,2025-12-23,0.95
CMP800096,User_76742,Tirunelveli,Call Center,The trust managing the community hall is overcharging for local residents' bookings.,General Administrative Department,Low,In Progress,2025-04-29,0.95
CMP800097,User_21596,Vellore,Web Portal,High voltage fluctuations have damaged several electronic appliances in our house.,Electricity Issues,Low,Resolved,2025-03-22,0.95
CMP800098,User_27863,Thanjavur,Mobile App,The bridge connecting the two villages has developed visible cracks on the pillars.,Road & Infrastructure Issues,Low,Resolved,2025-06-08,0.95
CMP800099,User_45373,Coimbatore,Mobile App,The power cable connecting to our house has snapped due to heavy winds.,Electricity Issues,Low,Resolved,2026-02-09,0.95
CMP800100,User_99977,Thanjavur,Mobile App,Monkeys have entered our residential area and are damaging roof tiles and tanks.,Animal & Wildlife Issues,Medium,Open,2025-11-27,0.95
CMP800101,User_40243,Thanjavur,Call Center,The fans and lights in the classrooms are not working for the last two months.,Education & School Issues,Medium,Resolved,2025-09-15,0.95
CMP800102,User_58095,Salem,Call Center,A local provision store has illegally extended its roof over the public drain.,General Administrative Department,Low,Resolved,2025-03-18,0.95
CMP800103,User_40991,Madurai,Mobile App,"The hospital premises are very dirty, and the washrooms are not being cleaned.",Health & Medical Issues,Medium,In Progress,2025-08-12,0.95
CMP800104,User_45234,Vellore,Call Center,Illegal parking of heavy trucks is causing massive traffic jams during peak hours.,Public Safety & Law Issues,High,Resolved,2025-07-06,0.95
CMP800105,User_84499,Trichy,Mobile App,The local government hospital is lacking basic medicines like paracetamol and insulin.,Health & Medical Issues,Low,Open,2026-01-19,0.95
CMP800106,User_16196,Trichy,Web Portal,There is a conflict regarding the ownership of the common land used for festivals.,General Administrative Department,Medium,Open,2025-06-09,0.95
CMP800107,User_87993,Thanjavur,Call Center,"A major pipeline burst has occurred near the main junction, causing heavy water wastage.",Water Supply Issues,Low,Resolved,2025-08-22,0.95
CMP800108,User_92986,Chennai,Mobile App,The drinking water supplied in our colony has a brownish tint and a foul smell.,Water Supply Issues,Low,Resolved,2025-10-28,0.95
CMP800109,User_51625,Erode,Web Portal,We have not received any water supply for the past three consecutive days in our area.,Water Supply Issues,High,In Progress,2025-04-14,0.95
CMP800110,User_73648,Madurai,Mobile App,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,High,In Progress,2025-11-07,0.95
CMP800111,User_20234,Erode,Call Center,Frequent unannounced power cuts are happening every two hours throughout the day.,Electricity Issues,Medium,Open,2025-03-12,0.95
CMP800112,User_51817,Coimbatore,Mobile App,"Street dogs are chasing bikers at night, leading to serious road accidents.",Public Safety & Law Issues,Low,In Progress,2025-03-19,0.95
CMP800113,User_71570,Vellore,Web Portal,An electricity transformer is sparking continuously and producing a loud humming noise.,Electricity Issues,Low,Resolved,2025-05-20,0.95
CMP800114,User_81502,Vellore,Mobile App,The trust managing the community hall is overcharging for local residents' bookings.,General Administrative Department,High,Resolved,2025-05-19,0.95
CMP800115,User_60845,Trichy,Mobile App,Unmarked road cuttings for cable work have not been filled back properly.,Road & Infrastructure Issues,Low,In Progress,2025-06-17,0.95
CMP800116,User_31283,Kanchipuram,Mobile App,There is a terrible stench in the area due to animal waste dumped in the open.,Garbage & Sanitation Issues,High,In Progress,2025-05-17,0.95
CMP800117,User_16655,Vellore,Web Portal,The drainage covers on the side of the road are broken and dangerous for children.,Road & Infrastructure Issues,High,Open,2026-02-14,0.95
CMP800118,User_73385,Trichy,Web Portal,The mid-day meal served to the children is unhygienic and lacks nutrition.,Education & School Issues,Low,Open,2025-05-26,0.95
CMP800119,User_73826,Trichy,Mobile App,Wildlife from the nearby forest has entered the farm fields and destroyed crops.,Animal & Wildlife Issues,High,In Progress,2025-10-11,0.95
CMP800120,User_81335,Chennai,Web Portal,The CCTV cameras installed at the main junction are non-functional.,Public Safety & Law Issues,High,In Progress,2025-11-18,0.95
CMP800121,User_92339,Thanjavur,Mobile App,There is a terrible stench in the area due to animal waste dumped in the open.,Garbage & Sanitation Issues,Medium,Resolved,2025-12-12,0.95
CMP800122,User_96102,Madurai,Call Center,"Pigs are roaming in the garbage heaps near the residential colony, spreading disease.",Animal & Wildlife Issues,High,Resolved,2026-02-07,0.95
CMP800123,User_66000,Trichy,Web Portal,"Pigs are roaming in the garbage heaps near the residential colony, spreading disease.",Animal & Wildlife Issues,Low,In Progress,2026-02-02,0.95
CMP800124,User_62243,Vellore,Web Portal,The bridge connecting the two villages has developed visible cracks on the pillars.,Road & Infrastructure Issues,Medium,Resolved,2025-06-11,0.95
CMP800125,User_41186,Salem,Web Portal,"A major pipeline burst has occurred near the main junction, causing heavy water wastage.",Water Supply Issues,Medium,Resolved,2025-11-07,0.95
CMP800126,User_93115,Kanchipuram,Call Center,Monkeys have entered our residential area and are damaging roof tiles and tanks.,Animal & Wildlife Issues,High,Open,2026-02-02,0.95
CMP800127,User_17122,Coimbatore,Web Portal,There has been a total power failure in the entire street for the last five hours.,Electricity Issues,Medium,Resolved,2025-04-16,0.95
CMP800128,User_45304,Madurai,Call Center,The speed breaker near the hospital is not painted and is invisible at night.,Road & Infrastructure Issues,Low,In Progress,2025-06-28,0.95
CMP800129,User_67492,Erode,Call Center,The trust managing the community hall is overcharging for local residents' bookings.,General Administrative Department,High,In Progress,2025-09-26,0.95
CMP800130,User_47626,Thanjavur,Web Portal,A dead stray animal is lying on the road and needs to be removed immediately.,Garbage & Sanitation Issues,Low,In Progress,2025-03-05,0.95
CMP800131,User_19835,Erode,Call Center,"The street lights on the main road are not functioning, making it unsafe for commuters.",Electricity Issues,High,Resolved,2025-12-29,0.95
CMP800132,User_41441,Chennai,Web Portal,The birth certificate issued to me contains several spelling errors in the name.,Government Service Delivery Issues,High,Open,2025-11-28,0.95
CMP800133,User_93535,Chennai,Mobile App,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,Medium,In Progress,2025-03-15,0.95
CMP800134,User_59963,Coimbatore,Call Center,Unauthorized shops and stalls have encroached upon the entire width of the footpath.,Public Safety & Law Issues,Medium,In Progress,2025-12-28,0.95
CMP800135,User_53254,Madurai,Web Portal,"A portion of the pavement has collapsed, making it difficult for pedestrians to walk.",Road & Infrastructure Issues,High,In Progress,2025-03-02,0.95
CMP800136,User_31832,Coimbatore,Web Portal,The valve man has not turned on the supply at the scheduled morning time for a week.,Water Supply Issues,High,In Progress,2025-09-03,0.95
CMP800137,User_32037,Kanchipuram,Call Center,The mid-day meal served to the children is unhygienic and lacks nutrition.,Education & School Issues,Low,Open,2025-09-02,0.95
CMP800138,User_72414,Erode,Web Portal,"Road expansion work has been left incomplete for months, causing massive dust pollution.",Road & Infrastructure Issues,High,Open,2025-11-08,0.95
CMP800139,User_68506,Madurai,Call Center,Unmarked road cuttings for cable work have not been filled back properly.,Road & Infrastructure Issues,High,Open,2025-03-13,0.95
CMP800140,User_52360,Kanchipuram,Call Center,Live electrical wires are hanging dangerously low near the school entrance.,Electricity Issues,Medium,In Progress,2025-10-14,0.95
CMP800141,User_45741,Tirunelveli,Call Center,There is a conflict regarding the ownership of the common land used for festivals.,General Administrative Department,High,In Progress,2025-12-17,0.95
CMP800142,User_29602,Erode,Call Center,A group of people are creating a nuisance by consuming alcohol in the public park.,Public Safety & Law Issues,Low,Open,2025-04-11,0.95
CMP800143,User_40407,Madurai,Mobile App,The cooling system in the hospital mortuary is not working properly.,Health & Medical Issues,High,Open,2025-10-24,0.95
CMP800144,User_42671,Chennai,Web Portal,The information provided by the help desk at the Collectorate is misleading.,Government Service Delivery Issues,High,Open,2026-01-03,0.95
CMP800145,User_97614,Thanjavur,Web Portal,"The main road is filled with deep potholes, causing frequent two-wheeler accidents.",Road & Infrastructure Issues,Medium,In Progress,2026-02-03,0.95
CMP800146,User_50354,Thanjavur,Web Portal,The management of the local temple is not maintaining the premises properly.,General Administrative Department,High,Open,2025-09-07,0.95
CMP800147,User_52306,Thanjavur,Web Portal,"The school playground is filled with thorns and stones, making it unsafe for play.",Education & School Issues,Low,Resolved,2026-02-11,0.95
CMP800148,User_44423,Chennai,Web Portal,There is a conflict regarding the ownership of the common land used for festivals.,General Administrative Department,Medium,In Progress,2025-04-19,0.95
CMP800149,User_40258,Madurai,Web Portal,There is a conflict regarding the ownership of the common land used for festivals.,General Administrative Department,Low,In Progress,2026-01-09,0.95
CMP800150,User_32782,Chennai,Mobile App,"The school playground is filled with thorns and stones, making it unsafe for play.",Education & School Issues,Medium,In Progress,2025-10-16,0.95
CMP800151,User_98984,Madurai,Mobile App,A group of people are creating a nuisance by consuming alcohol in the public park.,Public Safety & Law Issues,High,Open,2025-03-17,0.95
CMP800152,User_87663,Trichy,Mobile App,The application for my community certificate has been pending for over three months.,Government Service Delivery Issues,Low,Resolved,2025-11-17,0.95
CMP800153,User_66453,Coimbatore,Mobile App,"The hospital premises are very dirty, and the washrooms are not being cleaned.",Health & Medical Issues,Low,In Progress,2025-12-02,0.95
CMP800154,User_81507,Chennai,Mobile App,Illegal parking of heavy trucks is causing massive traffic jams during peak hours.,Public Safety & Law Issues,High,In Progress,2025-12-08,0.95
CMP800155,User_59514,Tirunelveli,Web Portal,The local government hospital is lacking basic medicines like paracetamol and insulin.,Health & Medical Issues,High,Resolved,2025-09-20,0.95
CMP800156,User_82197,Erode,Mobile App,It is very difficult to get an appointment for Aadhaar card correction in our zone.,Government Service Delivery Issues,Low,Resolved,2025-08-31,0.95
CMP800157,User_55026,Kanchipuram,Web Portal,Illegal dumping of construction debris is blocking the flow of the rainwater drain.,Garbage & Sanitation Issues,High,In Progress,2025-09-11,0.95
CMP800158,User_86109,Trichy,Call Center,The mid-day meal served to the children is unhygienic and lacks nutrition.,Education & School Issues,High,In Progress,2025-03-01,0.95
CMP800159,User_64161,Coimbatore,Mobile App,The valve man has not turned on the supply at the scheduled morning time for a week.,Water Supply Issues,Low,Resolved,2025-06-16,0.95
CMP800160,User_72898,Tirunelveli,Web Portal,A dead stray animal is lying on the road and needs to be removed immediately.,Garbage & Sanitation Issues,High,Open,2026-02-10,0.95
CMP800161,User_79319,Erode,Call Center,"The hospital premises are very dirty, and the washrooms are not being cleaned.",Health & Medical Issues,Medium,Open,2025-07-01,0.95
CMP800162,User_56489,Tirunelveli,Web Portal,The cooling system in the hospital mortuary is not working properly.,Health & Medical Issues,Low,In Progress,2025-09-03,0.95
CMP800163,User_42975,Madurai,Web Portal,Monkeys have entered our residential area and are damaging roof tiles and tanks.,Animal & Wildlife Issues,Low,Resolved,2025-06-07,0.95
CMP800164,User_43702,Madurai,Web Portal,There is no separate toilet facility for girl students in the middle school.,Education & School Issues,High,In Progress,2025-06-26,0.95
CMP800165,User_53205,Salem,Call Center,We have not received any water supply for the past three consecutive days in our area.,Water Supply Issues,Medium,In Progress,2025-11-12,0.95
CMP800166,User_88399,Vellore,Call Center,A neighborhood shop is causing noise pollution by using a generator all day.,General Administrative Department,Low,Open,2026-02-15,0.95
CMP800167,User_90096,Erode,Mobile App,"Heavy vehicles are entering the narrow residential street, damaging the road surface.",Road & Infrastructure Issues,High,Resolved,2026-01-20,0.95
CMP800168,User_26211,Salem,Mobile App,A dead stray animal is lying on the road and needs to be removed immediately.,Garbage & Sanitation Issues,Low,In Progress,2025-03-24,0.95
CMP800169,User_22049,Coimbatore,Web Portal,A poisonous snake was spotted in the garden of a house near the public park.,Animal & Wildlife Issues,Low,In Progress,2025-06-23,0.95
CMP800170,User_17516,Erode,Call Center,There has been a total power failure in the entire street for the last five hours.,Electricity Issues,Medium,In Progress,2026-02-22,0.95
CMP800171,User_60839,Madurai,Mobile App,Illegal parking of heavy trucks is causing massive traffic jams during peak hours.,Public Safety & Law Issues,High,In Progress,2025-11-01,0.95
CMP800172,User_35255,Coimbatore,Web Portal,There is a continuous leak in the public water tap located near the community park.,Water Supply Issues,Low,Open,2025-03-14,0.95
CMP800173,User_74552,Erode,Call Center,The application for my community certificate has been pending for over three months.,Government Service Delivery Issues,High,In Progress,2025-12-27,0.95
CMP800174,User_49037,Kanchipuram,Call Center,"Unauthorized motor pumps are being used by some residents, affecting the supply to others.",Water Supply Issues,Medium,Resolved,2025-03-06,0.95
CMP800175,User_53158,Chennai,Mobile App,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,High,In Progress,2026-02-17,0.95
CMP800176,User_52168,Thanjavur,Web Portal,"The main road is filled with deep potholes, causing frequent two-wheeler accidents.",Road & Infrastructure Issues,High,Open,2025-10-20,0.95
CMP800177,User_93504,Coimbatore,Call Center,Unauthorized shops and stalls have encroached upon the entire width of the footpath.,Public Safety & Law Issues,Low,Resolved,2025-12-27,0.95
CMP800178,User_35902,Salem,Call Center,"The street lights on the main road are not functioning, making it unsafe for commuters.",Electricity Issues,Low,Open,2025-05-14,0.95
CMP800179,User_86078,Vellore,Call Center,Loud music is being played at a nearby function hall well past midnight.,Public Safety & Law Issues,Medium,In Progress,2025-07-31,0.95
CMP800180,User_38280,Coimbatore,Web Portal,Requesting a free vaccination camp for the children in our low-income neighborhood.,Health & Medical Issues,Medium,Open,2025-10-26,0.95
